timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505830057946,11617,Find all with Mono,200,OK,Thread Reactive Group 1-11,text,true,,797904,179,20,20,1473,0,13
1505830057919,12454,Find all with Mono,200,OK,Thread Reactive Group 1-4,text,true,,797904,179,20,20,1517,0,11
1505830057912,12964,Find all with Mono,200,OK,Thread Reactive Group 1-1,text,true,,797904,179,20,20,1455,0,6
1505830057933,14266,Find all with Mono,200,OK,Thread Reactive Group 1-8,text,true,,797904,179,20,20,1466,0,9
1505830057941,14354,Find all with Mono,200,OK,Thread Reactive Group 1-9,text,true,,797904,179,20,20,1442,0,11
1505830057949,15621,Find all with Mono,200,OK,Thread Reactive Group 1-2,text,true,,797904,179,20,20,1499,0,15
1505830057921,16202,Find all with Mono,200,OK,Thread Reactive Group 1-6,text,true,,797904,179,20,20,2313,0,10
1505830057928,18365,Find all with Mono,200,OK,Thread Reactive Group 1-5,text,true,,797904,179,20,20,2309,0,12
1505830070374,6222,Find by surname,200,OK,Thread Reactive Group 1-4,text,true,,539258,198,20,20,784,0,327
1505830076596,772,Create one,200,OK,Thread Reactive Group 1-4,text,true,,185,274,20,20,771,0,316
1505830069564,8662,Find by surname,200,OK,Thread Reactive Group 1-11,text,true,,539258,198,20,20,866,0,345
1505830057932,20737,Find all with Mono,200,OK,Thread Reactive Group 1-7,text,true,,797904,179,20,20,2847,0,9
1505830077368,1410,Create many,200,OK,Thread Reactive Group 1-4,text,true,,266,364,20,20,1410,0,0
1505830078227,741,Create one,200,OK,Thread Reactive Group 1-11,text,true,,185,274,20,20,740,0,348
1505830057961,21019,Find all with Mono,200,OK,Thread Reactive Group 1-15,text,true,,797904,179,20,20,3468,0,20
1505830057982,21737,Find all with Mono,200,OK,Thread Reactive Group 1-19,text,true,,797904,179,20,20,3104,0,10
1505830057981,22365,Find all with Mono,200,OK,Thread Reactive Group 1-18,text,true,,797904,179,20,20,2431,0,5
1505830057942,22440,Find all with Mono,200,OK,Thread Reactive Group 1-10,text,true,,797904,179,20,20,2427,0,11
1505830057923,22673,Find all with Mono,200,OK,Thread Reactive Group 1-3,text,true,,797904,179,20,20,2429,0,17
1505830078969,1902,Create many,200,OK,Thread Reactive Group 1-11,text,true,,266,364,20,20,1902,0,0
1505830074123,7333,Find by surname,200,OK,Thread Reactive Group 1-6,text,true,,539258,198,20,20,720,0,322
1505830057951,23540,Find all with Mono,200,OK,Thread Reactive Group 1-13,text,true,,797904,179,20,20,2439,0,17
1505830076293,6221,Find by surname,200,OK,Thread Reactive Group 1-5,text,true,,539258,198,20,20,768,0,355
1505830070877,11725,Find by surname,200,OK,Thread Reactive Group 1-1,text,true,,539258,198,20,20,744,0,335
1505830057949,24844,Find all with Mono,200,OK,Thread Reactive Group 1-12,text,true,,797904,179,20,20,2346,0,12
1505830081457,1652,Create one,200,OK,Thread Reactive Group 1-6,text,true,,185,274,20,20,639,0,336
1505830082514,729,Create one,200,OK,Thread Reactive Group 1-5,text,true,,185,274,20,20,729,0,376
1505830082602,748,Create one,200,OK,Thread Reactive Group 1-1,text,true,,185,274,20,20,748,0,389
1505830057983,25455,Find all with Mono,200,OK,Thread Reactive Group 1-20,text,true,,797904,179,20,20,3684,0,18
1505830083109,339,Create many,200,OK,Thread Reactive Group 1-6,text,true,,266,364,20,20,338,0,0
1505830083244,295,Create many,200,OK,Thread Reactive Group 1-5,text,true,,266,364,20,20,295,0,0
1505830083351,354,Create many,200,OK,Thread Reactive Group 1-1,text,true,,266,364,20,20,353,0,0
1505830072295,11465,Find by surname,200,OK,Thread Reactive Group 1-9,text,true,,539258,198,20,20,750,0,298
